unique_id,sia_sample_id,sample_year,stream_name,site_id,sample_hitch,compartment,resource,taxon_code,length_mm,d13C,d13C_scl,d15N,d15N_scl,CN
2016-LR00-BNT-09,2016_F407,2016,Laramie,LR00,H3,fish,fish,BNT,58,-27.5742715,0.321988578,7.619431,0.49706492,3.959725612
2016-LR00-BNT-10,2016_F408,2016,Laramie,LR00,H3,fish,fish,BNT,130,-27.7479355,0.31279448,8.3400852,0.537320321,3.241568402
2016-LR00-BNT-11,2016_F410,2016,Laramie,LR00,H3,fish,fish,BNT,126,-27.60372,0.320429519,8.165772,0.527583268,3.210867304
2016-LR00-BNT-14,2016_F412,2016,Laramie,LR00,H3,fish,fish,BNT,148,-27.0682065,0.348780608,7.870241,0.511075047,3.219247818
2016-LR00-BNT-15,2016_F414,2016,Laramie,LR00,H3,fish,fish,BNT,106,-27.6053768,0.320341805,8.3054804,0.535387313,3.219587266
2016-LR00-BNT-16,2016_F416,2016,Laramie,LR00,H3,fish,fish,BNT,136,-27.866656,0.306509194,7.9494448,0.515499334,3.262591898
2016-LR00-BNT-17,2016_F418,2016,Laramie,LR00,H3,fish,fish,BNT,171,-27.5297168,0.324347387,8.3654864,0.53873922,3.229190657
2016-LR00-BNT-18,2016_F421,2016,Laramie,LR00,H3,fish,fish,BNT,145,-26.8810584,0.35868858,8.1364635,0.525946109,3.466670967
2016-LR00-BNT-20,2016_F424,2016,Laramie,LR00,H3,fish,fish,BNT,131,-27.3451064,0.334121008,8.0934592,0.52354391,3.234064863
2016-LR00-BNT-13,FH858,2016,Laramie,LR00,H3,fish,fish,BNT,106,-26.2103925,0.39419489,8.01699,0.519272377,3.168740328
2017-LR00-BNT-12,F-17-168,2017,Laramie,LR00,H3,fish,fish,BNT,117,-24.857857,0.465800656,6.6465897,0.442722468,3.359623269
2017-LR00-BNT-13,F-17-169,2017,Laramie,LR00,H3,fish,fish,BNT,164,-22.4754945,0.591927395,6.5654034,0.43818744,3.303079192
2017-LR00-BNT-14,F-17-170,2017,Laramie,LR00,H3,fish,fish,BNT,113,-25.128694,0.451462037,6.9773487,0.461198508,3.323944805
2017-LR00-BNT-15,F-17-171,2017,Laramie,LR00,H3,fish,fish,BNT,120,-24.7735966,0.47026156,7.1908386,0.473123952,3.463390199
2017-LR00-BNT-16,F-17-172,2017,Laramie,LR00,H3,fish,fish,BNT,106,-22.7553594,0.577110822,6.6395736,0.442330552,3.421328344
2017-LR00-BNT-17,F-17-173,2017,Laramie,LR00,H3,fish,fish,BNT,110,-22.4764976,0.591874289,6.4160607,0.429845228,3.427235741
2016-LR00-LNS-07,2016_F338,2016,Laramie,LR00,H3,fish,fish,LNS,155,-24.16436,0.502515688,7.8853384,0.511918381,3.521880388
2016-LR00-LNS-08,2016_F340,2016,Laramie,LR00,H3,fish,fish,LNS,166,-24.1603248,0.502729319,7.6303129,0.497672778,3.437035791
2016-LR00-LNS-38,2016_F357,2016,Laramie,LR00,H3,fish,fish,LNS,131,-24.6970064,0.474316389,7.531303,0.492142132,3.280952389
2016-LR00-LNS-40,2016_F362,2016,Laramie,LR00,H3,fish,fish,LNS,188,-24.5547656,0.481846883,7.0893588,0.467455339,3.310533539
2016-LR00-LNS-06,FH850,2016,Laramie,LR00,H3,fish,fish,LNS,141,-25.0156499,0.457446804,7.04232,0.464827774,3.392499849
2015-LR02-BNT-07,2015_F047,2015,Laramie,LR02,H3,fish,fish,BNT,150,-25.7073392,0.420827475,8.685479,0.556613854,3.318732734
2015-LR02-BNT-09,2015_F057,2015,Laramie,LR02,H3,fish,fish,BNT,88,-25.9280474,0.409142769,7.552613,0.493332498,3.525549174
2015-LR02-BNT-02,2015_F059,2015,Laramie,LR02,H3,fish,fish,BNT,201,-25.8444,0.413571219,8.436728,0.542718741,3.304386577
2015-LR02-BNT-08,2015_F061,2015,Laramie,LR02,H3,fish,fish,BNT,93,-25.3334454,0.440622114,7.470695,0.488756598,3.708443144
2015-LR02-BNT-01,2015_F062,2016,Laramie,LR02,H3,fish,fish,BNT,281,-25.7756505,0.417210947,10.1718018,0.639639138,3.487251566
2016-LR02-BNT-51,2016_F467,2016,Laramie,LR02,H3,fish,fish,BNT,140,-26.6385954,0.371525025,8.65531,0.554928628,3.437682
2016-LR02-BNT-55,2016_F479,2016,Laramie,LR02,H3,fish,fish,BNT,152,-26.7175548,0.367344767,8.82196,0.564237618,3.492700369
2016-LR02-BNT-56,2016_F482,2016,Laramie,LR02,H3,fish,fish,BNT,135,-25.871272,0.412148565,8.47149,0.54466053,3.274992268
2016-LR02-BNT-61,2016_F493,2016,Laramie,LR02,H3,fish,fish,BNT,305,-27.0941304,0.34740814800000003,9.25929,0.588666663,3.38813611
2016-LR02-BNT-54,2016_F476,2016,Laramie,LR02,H3,fish,fish,BNT,164,-26.4158894,0.383315499,8.85226,0.565930161,3.436799418
2016-LR02-BNT-62,2016_F496,2016,Laramie,LR02,H3,fish,fish,BNT,320,-26.6527676,0.370774723,9.99356,0.629682636,3.250655583
2016-LR02-BNT-53,2016_F473,2016,Laramie,LR02,H3,fish,fish,BNT,150,-24.9310739,0.461924416,8.67046,0.5557749,3.300069255
2016-LR02-BNT-19,FH988,2016,Laramie,LR02,H3,fish,fish,BNT,70,-26.6871858,0.368952559,7.47967,0.489257937,3.327945683
2016-LR02-BNT-23,FH974,2016,Laramie,LR02,H3,fish,fish,BNT,71,-26.5080087,0.37843853,7.8826599999999996,0.511768767,3.245300474
2016-LR02-BNT-20,FH1000,2016,Laramie,LR02,H3,fish,fish,BNT,70,-26.6517553,0.370828316,7.90589,0.513066383,3.270569778
2016-LR02-BNT-29,FH1003,2016,Laramie,LR02,H3,fish,fish,BNT,61,-26.6355585,0.371685805,8.66844,0.555662064,3.22119788
2016-LR02-BNT-52,2016_F470,2016,Laramie,LR02,H3,fish,fish,BNT,153,-25.3945792,0.437385576,8.6177426,0.552830131,3.22331518
2016-LR02-BNT-57,2016_F484,2016,Laramie,LR02,H3,fish,fish,BNT,121,-25.7285072,0.419706802,8.3910377,0.540166503,3.294327343
2016-LR02-BNT-58,2016_F486,2016,Laramie,LR02,H3,fish,fish,BNT,113,-25.868786,0.412280179,8.0544758,0.521366315,3.235269085
2016-LR02-BNT-59,2016_F488,2016,Laramie,LR02,H3,fish,fish,BNT,132,-26.1150308,0.399243517,8.3031521,0.535257255,3.312853841
2016-LR02-BNT-60,2016_F490,2016,Laramie,LR02,H3,fish,fish,BNT,223,-26.5076096,0.378459659,9.3617741,0.594391376,3.369515006
2016-LR02-BNT-24,FH985,2016,Laramie,LR02,H3,fish,fish,BNT,62,-25.1885852,0.448291285,8.5208687,0.547418801,3.282337089
2016-LR02-BNT-25,FH987,2016,Laramie,LR02,H3,fish,fish,BNT,60,-26.0736536,0.401434104,8.8804007,0.567502087,3.287266624
2016-LR02-BNT-28,FH1009,2016,Laramie,LR02,H3,fish,fish,BNT,64,-25.9636508,0.407257858,7.4862155,0.489623566,3.212773374
2016-LR02-BNT-13,FH1045,2016,Laramie,LR02,H3,fish,fish,BNT,75,-26.136224,0.39812151,7.5541271,0.493417075,3.394761526
2016-LR02-BNT-07,FH1036,2016,Laramie,LR02,H3,fish,fish,BNT,104,-26.2654016,0.391282605,8.4769259,0.544964177,3.225786797
2015-LR02-BNT-03,2016_F600,2016,Laramie,LR02,H3,fish,fish,BNT,355,-26.1,0.400039276,10.8,0.674729991,3.2
2015-LR02-BNT-04,2016_F601,2016,Laramie,LR02,H3,fish,fish,BNT,415,-25.7,0.421216026,11.6,0.71941761,3.1
2015-LR02-BNT-05,2016_F602,2016,Laramie,LR02,H3,fish,fish,BNT,301,-26.5,0.378862526,9.7,0.613284514,3.4
2015-LR02-BNT-06,2016_F603,2016,Laramie,LR02,H3,fish,fish,BNT,394,-25.9,0.410627651,11,0.685901896,3.6
2017-LR02-BNT-01,F-17-187,2017,Laramie,LR02,H3,fish,fish,BNT,380,-25.8278547,0.414447159,10.6577943,0.666786448,3.275912555
2017-LR02-BNT-02,F-17-188,2017,Laramie,LR02,H3,fish,fish,BNT,390,-25.8128082,0.415243749,11.0707419,0.689853505,3.36259057
2017-LR02-BNT-03,F-17-189,2017,Laramie,LR02,H3,fish,fish,BNT,366,-25.4727573,0.433246681,10.4984286,0.657884356,3.39738564
2017-LR02-BNT-04,F-17-190,2017,Laramie,LR02,H3,fish,fish,BNT,341,-25.9331802,0.408871029,10.2819318,0.645790948,3.296019953
2017-LR02-BNT-05,F-17-191,2017,Laramie,LR02,H3,fish,fish,BNT,57,-26.0685987,0.40170172,7.7922186,0.506716753,3.412675111
2017-LR02-BNT-06,F-17-192,2017,Laramie,LR02,H3,fish,fish,BNT,75,-26.8871283,0.358367228,7.5546735,0.493447597,3.400612635
2017-LR02-BNT-07,F-17-193,2017,Laramie,LR02,H3,fish,fish,BNT,64,-26.0324871,0.403613536,8.1049362,0.524185009,3.419014905
2017-LR02-BNT-08,F-17-194,2017,Laramie,LR02,H3,fish,fish,BNT,65,-27.074708,0.348436407,7.5667011,0.494119453,3.581619667
