site_id,taxon_code,food_group,IRI_100
MB04,CKC,terrInv,9.5
MB04,LND,algae,2.2
MB04,LND,amphib,0
MB04,LND,benthicInv,87.3
MB04,LND,crayfish,0
MB04,LND,debris,9.1
MB04,LND,fish,0
MB04,LND,terrInv,4.5
MB04,WHS,algae,29
MB04,WHS,amphib,0
MB04,WHS,benthicInv,52.7
MB04,WHS,crayfish,0
MB04,WHS,debris,22
MB04,WHS,fish,0
MB04,WHS,terrInv,8.2
SW01,BNT,algae,0
SW01,BNT,amphib,0
SW01,BNT,benthicInv,65.2
SW01,BNT,crayfish,0
SW01,BNT,debris,0
SW01,BNT,fish,6.4
SW01,BNT,terrInv,20.8
SW02,BNT,algae,0
SW02,BNT,amphib,4.5
SW02,BNT,benthicInv,73.5
SW02,BNT,crayfish,0
SW02,BNT,debris,0
SW02,BNT,fish,4
SW02,BNT,terrInv,15.3
SW02,CKC,algae,4.7
SW02,CKC,amphib,0
SW02,CKC,benthicInv,75.4
SW02,CKC,crayfish,1.1
SW02,CKC,debris,2
SW02,CKC,fish,1.1
SW02,CKC,terrInv,10.2
SW02,LND,algae,8.8
SW02,LND,amphib,0
SW02,LND,benthicInv,82.1
SW02,LND,crayfish,0
SW02,LND,debris,1.7
SW02,LND,fish,0
SW02,LND,terrInv,1.3
SW02,WHS,algae,25.1
SW02,WHS,amphib,0
SW02,WHS,benthicInv,43.8
SW02,WHS,crayfish,0
SW02,WHS,debris,6.1
SW02,WHS,fish,0
SW02,WHS,terrInv,8.3
SW03,BNT,algae,0
SW03,BNT,amphib,5.3
SW03,BNT,benthicInv,30.5
SW03,BNT,crayfish,32.3
SW03,BNT,debris,0
SW03,BNT,fish,2.9
SW03,BNT,terrInv,20.1
SW03,CKC,algae,2.9
SW03,CKC,amphib,4.5
SW03,CKC,benthicInv,48.2
SW03,CKC,crayfish,20.6
SW03,CKC,debris,0.6
SW03,CKC,fish,2.2
SW03,CKC,terrInv,15.1
SW03,LND,algae,12.4
SW03,LND,amphib,0
SW03,LND,benthicInv,88.9
SW03,LND,crayfish,0
SW03,LND,debris,5
SW03,LND,fish,0
SW03,LND,terrInv,1.4
SW03,LNS,algae,33.8
SW03,LNS,amphib,0
SW03,LNS,benthicInv,20
SW03,LNS,crayfish,0
SW03,LNS,debris,17.6
SW03,LNS,fish,0
SW03,LNS,terrInv,10.7
SW03,WHS,algae,28.4
SW03,WHS,amphib,0
SW03,WHS,benthicInv,55.1
SW03,WHS,crayfish,0
SW03,WHS,debris,14.5
SW03,WHS,fish,0
SW03,WHS,terrInv,8.1
SW04,CKC,algae,1.2
SW04,CKC,amphib,3.5
SW04,CKC,benthicInv,52.3
SW04,CKC,crayfish,19.5
SW04,CKC,debris,1.1
SW04,CKC,fish,5.4
SW04,CKC,terrInv,3
SW04,LND,algae,5.3
SW04,LND,amphib,0
SW04,LND,benthicInv,91.3
SW04,LND,crayfish,0
SW04,LND,debris,6.2
SW04,LND,fish,0
SW04,LND,terrInv,1.9
SW04,WHS,algae,34.1
SW04,WHS,amphib,0
SW04,WHS,benthicInv,56.7
SW04,WHS,crayfish,0
SW04,WHS,debris,7.5
SW04,WHS,fish,0
SW04,WHS,terrInv,3.5
